step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,TRANSFER,1500,C1,5000,3500,C2,0,1500,0,0
2,TRANSFER,2500,C3,8000,5500,C4,1000,3500,0,0
3,TRANSFER,9000,C5,12000,3000,C6,300,9300,1,0
4,TRANSFER,4500,C1,3500,0,C4,3500,8000,1,0
5,TRANSFER,800,C2,1500,700,C5,9300,10100,0,0
6,TRANSFER,1200,C4,8000,6800,C2,700,1900,0,0
7,TRANSFER,6000,C6,9300,3300,C1,0,6000,1,0
8,TRANSFER,3000,C3,5500,2500,C5,10100,13100,0,0
9,TRANSFER,2200,C2,1900,-300,C6,3300,5500,0,0
10,TRANSFER,7500,C7,15000,7500,C8,0,7500,0,0
11,TRANSFER,3500,C8,7500,4000,C3,2500,6000,0,0
12,TRANSFER,1500,C7,7500,6000,C1,6000,7500,0,0
13,TRANSFER,1800,C5,13100,11300,C2,-300,1500,0,0
14,TRANSFER,2600,C6,5500,2900,C7,6000,8600,0,0
15,TRANSFER,5000,C4,6800,1800,C9,0,5000,1,0
